Message,Severity,Explanation,Recommended Action
"
AAA-6-DELETE_CLIENT_ACCOUNT_DELETED: Delete client %02x:%02x:%02x:%02x:%02x:%02xbecause user account",6-Information,The specified client was deleted because the user account was deleted.,No action is required
"
BCAST-3-VLAN_MAX_STREAMS:  Max limit of multicast addresses per vlan reached. Dropping stream""",3-Error, The WLC has a maximum count of multicast streams that is supported on a vlan. This limit has been crossed. Hence the IGMP join would be ignored.,No action is required
"
CAPWAP_HA-4-AP_DB_FIND_ERR: Unable to find AP %02x:%02x:%02x:%02x:%02x:%02x entry in the database",4-Warning,The operation being performed for the AP failed because the internal entry for the AP was not found. It is possible that the AP has been removed from the controller.,Use the 'show ap summary' command to determine if the AP is still joined to the controller.
"
CAPWAP-3-DB_CREATOR_ERR: Database entry for AP %s is created in LWAPP",3-Error,The operation being performed for the AP failed because the internal entry for the AP was created in LWAPP and message was recieved in CAPWAP,Use the  'show ap summary' command to determine if the AP is still joined to the controller.
"
CAPWAP-3-HDR_ENCAP_ERR: The system is unable to encapsulate CAPWAP header for  AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The system could not send the CAPWAP packet due to an internal error in encapsulating the packet. AP may not function as expected.,Standard Recommended Action
"
CAPWAP-3-IPV6_DISC_BCAST_ERR: Ignoring a %sdiscovery request from AP %02x:%02x:%02x:%02x:%02x:%02x via broadcast AP",3-Error,The controller ignored a broadcast discovery request from an AP because AP is not on the same subnet as the controller.,No action is required
"
CAPWAP-4-AP_DB_ERR1: The system is unable to find AP %02x:%02x:%02x:%02x:%02x:%02x entry in the database",4-Warning,The operation being performed for the AP failed because the internal entry for the AP was not found. It is possible that the AP has been removed from the controller.,Use the  'show ap summary' command to determine if the AP is still joined to the controller.
"
CAPWAP-4-DISC_INTF_ERR1: Ignoring %sdiscovery request received on non-management interface",4-Warning,A discovery request from an AP was ignored because it was received on an invalid interface. Network configuration may be invalid.,Check network configuration to ensure that packets from the AP are correctly routed.
"
CAPWAPPING-4-PMTU_SEND_FAILED: Capwap mobility PMTU packet sent to %d.%d.%d.%d failed""",4-Warning,Mobility path MTU discovery failure,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"
CHKPT-2-CHKPT_OUTOFMEM: System is out of memory",2-Critical,Checkpoint Facility was unable to call system,Copy the error message exactly as it appears
"
CHKPT-3-CHKPT_LINUX_API_ERR: API %s has returned failure",3-Error,Checkpoint Facility was unable to call system,No action is required
"
CHKPT-3-ILLEGAL: ILLEGAL call to CF API on",3-Error,This is a sever error as for as check pointing is concerned,Copy the error message exactly as it appears
"
CHKPT-3-ISSU_MSG_NOT_COMPATIBLE: Checkpointing message type not compatible""",3-Error,Checkpointing messages are used to carry encoded information for transfer between various High-Availabilty clients.,Standard Recommended Action
"
CHKPT-3-ISSU_RCV_TRANSFORM_FAILED: Checkpointing receive message header transformaton failed",3-Error,Checkpointing messages are used to carry encoded information for transfer between various High-Availabilty clients.,Standard Recommended Action
"
CHKPT-3-ISSU_XMIT_TRANSFORM_FAILED: Checkpointing transmit message header transformaton failed",3-Error,heckpointing messages are used to carry encoded information for transfer between various High-Availabilty clients.,Standard Recommended Action
"
CHKPT-3-NOMEM: Unable allocate resource for CF on",3-Error,This is a sever error as for as check pointing is concerned,Copy the error message exactly as it appears
"
CHKPT-3-UNKNOWNMSG: Unknown message received from peer on standby for client",3-Error,This is a sever error as for as check pointing is concerned,Copy the error message exactly as it appears
"
CHKPT-3-XML_XFER_FAIL: Failed to transfer configuration files to peer",3-Error,Failed to transfer configuration files to peer,No action is required
"
CHKPT-4-DUPID: Duplicate checkpoint client ID",4-Warning,This is not sever error. No action is required,Copy the error message exactly as it appears
"
CHKPT-4-INVALID: Invalid checkpoint client ID",4-Warning,This is not sever error. No action is required,Copy the error message exactly as it appears
"
CHKPT-4-TRANSMIT_FAILED: Checkpointing message transmission failure",4-Warning,Checkpointing messages are used to carry encoded information for transfer between various High-Availabilty clients.,Standard Recommended Action
"
LOG-3-MSG_SEND_FAILED: Failed to send Event %s to Queue %s. Error code %d""",3-Error,Unable to send messages to the Queue. The queue for the task might be full.,Standard Recommended Action
"
LWAPP-2-TASK_CREATE_ERR: The system has failed to create LWAPP %s task""",2-Critical,An internal error has occurred and the LWAPP subsystem could not be initialized. The APs may not be able to join the controller.,Standard Recommended Action
"
LWAPP-3-ADD_OSSID_ERR: The system is unable to add %.*s SSID to override table for AP %s""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-AP_DB_DELETE_ERR1: The system could not delete AP entry",3-Error,Deleting the AP from the internal database has failed because the entry for the AP could not be found.  It is possible that the AP has been removed from  the controller.,Use the show ap summary command to determine if the AP is still joined to the controller.
"
LWAPP-3-AP_DB_DELETE_ERR2: The sytem is unable to remove AP %02x:%02x:%02x:%02x:%02x:%02x %s""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-AP_DB_FULL: The system could not allocate an entry for the AP",3-Error,The internal database for the AP is full,Standard Recommended Action
"
LWAPP-3-AP_DB_INVALID: AP information in the database is invalid""",3-Error,An invalid AP entry was found in the AP database. If the AP is still joined to the controller it might not function properly.,Standard Recommended Action
"
LWAPP-3-CCX_RM_ERR: The system has received an invalid CCX resource management subtype payload",3-Error,The radio resource management message was not processed due to an invalid parameter. The CCX radio resource management may not function as expected.,Standard Recommended Action
"
LWAPP-3-COUNT_ERR3: Mismatch in the internal count",3-Error,Due to an error,Standard Recommended Action
"
LWAPP-3-COUNT_ERR4: AP %02x:%02x:%02x:%02x:%02x:%02x marked as normal but internal counter does not reflect this""",3-Error,Due to an error,Standard Recommended Action
